"","out"
"2000 Q1",21.813606557377
"2000 Q2",25.2664516129032
"2000 Q3",23.3895238095238
"2000 Q4",24.0485483870968
"2001 Q1",26.853220338983
"2001 Q2",28.3396774193548
"2001 Q3",36.2807936507936
"2001 Q4",35.6808064516129
"2002 Q1",32.2906896551724
"2002 Q2",25.9211290322581
"2002 Q3",33.31765625
"2002 Q4",30.9787096774194
"2003 Q1",27.526724137931
"2003 Q2",21.8879365079365
"2003 Q3",24.9607936507937
"2003 Q4",27.1770491803279
"2004 Q1",24.3503278688525
"2004 Q2",23.3001639344262
"2004 Q3",20.4092063492064
"2004 Q4",17.4016393442623
"2005 Q1",14.9521666666667
"2005 Q2",14.1939344262295
"2005 Q3",14.1466666666667
"2005 Q4",17.3644262295082
"2006 Q1",22.9719672131148
"2006 Q2",21.9074193548387
"2006 Q3",21.5863492063492
"2006 Q4",16.6638709677419
"2007 Q1",18.2318644067797
"2007 Q2",17.6601612903226
"2007 Q3",25.5248387096774
"2007 Q4",25.5975806451613
"2008 Q1",37.8079661016949
"2008 Q2",28.6627419354839
"2008 Q3",28.2144444444444
"2008 Q4",69.4034426229508
"2009 Q1",51.7484745762712
"2009 Q2",34.3401639344262
"2009 Q3",28.2070967741935
"2009 Q4",25.0790163934426
"2010 Q1",22.842
"2010 Q2",27.2322950819672
"2010 Q3",27.1490476190476
"2010 Q4",20.6172131147541
"2011 Q1",24.1996666666667
"2011 Q2",24.8313114754098
"2011 Q3",30.0133333333333
"2011 Q4",26.2675409836066
"2012 Q1",20.804262295082
"2012 Q2",22.7685483870968
"2012 Q3",18.828253968254
"2012 Q4",18.2433870967742
"2013 Q1",24.5970689655172
"2013 Q2",31.9990322580645
"2013 Q3",29.0406349206349
"2013 Q4",23.4688709677419
"2014 Q1",26.3294827586207
"2014 Q2",20.981935483871
"2014 Q3",16.6946031746032
"2014 Q4",24.7562295081967
"2015 Q1",21.8433333333333
"2015 Q2",19.2280327868852
"2015 Q3",25.308064516129
"2015 Q4",23.8109836065574
"2016 Q1",32.2736065573771
"2016 Q2",28.9504918032787
"2016 Q3",24.3906451612903
"2016 Q4",19.7109836065574
"2017 Q1",18.1288524590164
