date,gz_spread,ebp,est_prob
DEC1988,1.4348,0.2109,0.3229589164
JAN1989,1.4872,0.1740,0.3057554072
FEB1989,1.3620,0.0580,0.254547931
MAR1989,1.4898,0.3589,0.3955258309
APR1989,1.5415,0.4598,0.4473259252
MAY1989,1.6179,0.2589,0.34593422
JUN1989,1.7498,0.4700,0.4526771063
JUL1989,1.8895,0.7310,0.5885961679
AUG1989,1.6671,0.4004,0.416700544
SEP1989,1.5085,0.4544,0.4445251607
OCT1989,1.6352,0.4734,0.4544139571
NOV1989,1.6658,0.6528,0.5482205436
DEC1989,1.5692,0.5331,0.4856354808
JAN1990,1.4564,0.2439,0.3386867417
FEB1990,1.4238,0.3780,0.4052536415
MAR1990,1.4513,0.4314,0.4326355127
APR1990,1.2425,0.0686,0.2590148098
MAY1990,1.1734,0.0668,0.2582679917
JUN1990,1.1903,0.1736,0.3055992772
JUL1990,1.1808,0.1395,0.2900510102
AUG1990,1.1448,-0.1448,0.1770253519
SEP1990,1.1532,0.0675,0.258555953
OCT1990,1.4406,0.2667,0.3497095564
NOV1990,1.5845,0.3615,0.3968699192
DEC1990,1.6277,0.3495,0.3907678914
JAN1991,1.6582,0.4178,0.4255952208
FEB1991,1.4670,0.3203,0.3761151863
MAR1991,1.4341,0.2563,0.3446907253
APR1991,1.4144,0.2037,0.3195973911
MAY1991,1.3609,0.1957,0.3158349379
JUN1991,1.3298,0.0919,0.26904039
JUL1991,1.4304,0.2022,0.318891895
AUG1991,1.3349,0.1360,0.2884968091
SEP1991,1.4304,0.1558,0.2974435998
OCT1991,1.4021,0.1592,0.2989928464
NOV1991,1.3888,0.1815,0.3092203723
DEC1991,1.5722,0.1988,0.3173101382
JAN1992,1.3682,0.0724,0.2606601113
FEB1992,1.3092,0.1231,0.2827193318
MAR1992,1.2399,0.0705,0.2598353607
APR1992,1.2395,0.0647,0.2573793015
MAY1992,1.2476,0.0232,0.2400820547
JUN1992,1.2167,0.0069,0.2335028609
JUL1992,1.2859,-0.0660,0.2052058894
AUG1992,1.4487,0.1130,0.2782576282
SEP1992,1.5604,0.2185,0.3265681536
OCT1992,1.4317,0.1331,0.2871784293
NOV1992,1.3011,0.0985,0.2719046658
DEC1992,1.3884,0.1537,0.2964891728
JAN1993,1.4108,0.1116,0.2776279998
FEB1993,1.4396,0.0843,0.265762546
MAR1993,1.3943,0.0683,0.2589085728
APR1993,1.4379,0.0853,0.2661693952
MAY1993,1.3544,0.0541,0.2528941443
JUN1993,1.3371,-0.0347,0.2171031996
JUL1993,1.3158,-0.0403,0.2149352608
AUG1993,1.3981,-0.0513,0.2107278402
SEP1993,1.4221,0.0387,0.2464615695
OCT1993,1.3703,-0.0348,0.2170567518
NOV1993,1.3038,-0.1059,0.190602526
DEC1993,1.2802,-0.1377,0.179481421
JAN1994,1.2386,-0.2171,0.1534440294
FEB1994,1.1410,-0.4173,0.0994334971
MAR1994,1.2192,-0.3003,0.1290171976
APR1994,1.2215,-0.2668,0.138498132
MAY1994,1.2483,-0.2777,0.1353673376
JUN1994,1.2045,-0.3277,0.1215876259
JUL1994,1.2068,-0.2925,0.1311876141
AUG1994,1.1863,-0.2485,0.1438846828
SEP1994,1.1596,-0.3908,0.1056627131
OCT1994,1.1894,-0.2874,0.1326058712
NOV1994,1.2392,-0.2439,0.1452806876
DEC1994,1.2762,-0.1891,0.1623291149
JAN1995,1.2735,-0.2334,0.1484427191
FEB1995,1.2389,-0.2695,0.137724607
MAR1995,1.2427,-0.2751,0.1361211443
APR1995,1.2120,-0.2221,0.1518966866
MAY1995,1.3259,-0.3332,0.1201520211
JUN1995,1.3495,-0.1310,0.1817865635
JUL1995,1.2708,-0.3093,0.1265544182
AUG1995,1.2902,-0.1928,0.1611197389
SEP1995,1.2792,-0.1612,0.1714904582
OCT1995,1.3624,-0.1279,0.1828595923
NOV1995,1.4181,-0.0350,0.2169613914
DEC1995,1.4363,-0.0436,0.2136563102
JAN1996,1.4209,-0.0930,0.1952598389
FEB1996,1.3210,-0.3279,0.1215338891
MAR1996,1.2847,-0.3392,0.1185603624
APR1996,1.2726,-0.2918,0.1313952449
MAY1996,1.2223,-0.3144,0.12516932
JUN1996,1.2827,-0.2738,0.1365020728
JUL1996,1.2995,-0.3222,0.1230641586
AUG1996,1.2709,-0.3940,0.1048862997
SEP1996,1.2502,-0.3894,0.1060036413
OCT1996,1.2958,-0.3315,0.1205800853
NOV1996,1.3457,-0.2918,0.1313771245
DEC1996,1.2696,-0.4042,0.1024736972
JAN1997,1.2836,-0.3078,0.1269667859
FEB1997,1.1918,-0.4519,0.0917166781
MAR1997,1.2065,-0.4792,0.0859482319
APR1997,1.2328,-0.4097,0.1011951525
MAY1997,1.1581,-0.4321,0.0960703643
JUN1997,1.1620,-0.5213,0.0775938967
JUL1997,1.2186,-0.4937,0.0829981798
AUG1997,1.1625,-0.4808,0.0856308007
SEP1997,1.1712,-0.5412,0.0738615611
OCT1997,1.3413,-0.3890,0.1061013261
NOV1997,1.3288,-0.3189,0.1239370413
DEC1997,1.3258,-0.3976,0.1040245995
JAN1998,1.3866,-0.3376,0.1189779808
FEB1998,1.3406,-0.3188,0.123968067
MAR1998,1.3283,-0.3646,0.1120907208
APR1998,1.2205,-0.4474,0.0927084592
MAY1998,1.2292,-0.3965,0.1043050439
JUN1998,1.3249,-0.3794,0.108411187
JUL1998,1.3832,-0.3282,0.1214596794
AUG1998,2.0289,0.0426,0.2480947756
SEP1998,2.1399,0.0188,0.2382798551
OCT1998,2.2900,0.1447,0.2923923992
NOV1998,2.0224,0.1577,0.2983102423
DEC1998,1.9873,0.0143,0.2364887803
JAN1999,1.9483,0.0186,0.2382242483
FEB1999,1.8116,-0.2273,0.1503178225
MAR1999,1.7061,-0.1858,0.1634041424
APR1999,1.6445,-0.2385,0.1468946311
MAY1999,1.6847,-0.2352,0.1478920215
JUN1999,1.7151,-0.1829,0.1643455915
JUL1999,1.7789,-0.1333,0.1809792983
AUG1999,1.9918,-0.0852,0.1981166239
SEP1999,2.0425,0.0515,0.2517965721
OCT1999,2.1160,0.0599,0.2553544533
NOV1999,2.0614,0.0218,0.2395276497
DEC1999,1.8910,-0.2085,0.1561503688
JAN2000,1.9768,-0.0312,0.2184202482
FEB2000,2.1395,0.0266,0.2414849237
MAR2000,2.4907,0.2674,0.3500642243
APR2000,2.6513,0.4252,0.4294110818
MAY2000,2.8294,0.6174,0.5298019145
JUN2000,2.8326,0.6640,0.5540659016
JUL2000,2.9508,0.7279,0.5870302756
AUG2000,3.0816,0.8900,0.6674511361
SEP2000,3.2119,0.9831,0.7106386145
OCT2000,3.6764,1.3765,0.8581544969
NOV2000,3.7940,1.4588,0.8810533518
DEC2000,3.8120,1.4613,0.8816992965
JAN2001,3.4133,1.0421,0.7365354946
FEB2001,3.3223,1.0787,0.7519834033
MAR2001,3.2816,1.0263,0.7297123436
APR2001,3.2018,0.8453,0.6458500914
MAY2001,2.9961,0.6917,0.5684066166
JUN2001,3.0729,0.9209,0.6820474337
JUL2001,3.0197,0.6710,0.557694923
AUG2001,3.0128,0.6601,0.5520362271
SEP2001,3.5023,1.1188,0.7683696521
OCT2001,3.4049,0.9333,0.6878379192
NOV2001,2.9541,-0.2681,0.1381375705
DEC2001,2.8678,0.3334,0.3826653221
JAN2002,2.9023,0.4939,0.4651182951
FEB2002,2.9249,0.7038,0.5746316745
MAR2002,2.5807,0.1974,0.316655375
APR2002,2.6193,0.3364,0.3841849247
MAY2002,2.7040,0.4488,0.4416309391
JUN2002,3.2311,0.8639,0.6549016017
JUL2002,4.0131,1.4402,0.8761147737
AUG2002,3.9164,1.3464,0.8490725554
SEP2002,4.2528,1.5055,0.8927971764
OCT2002,4.3190,1.3214,0.8412717992
NOV2002,3.7835,0.9720,0.7056120932
DEC2002,3.6715,0.8171,0.6319995377
JAN2003,3.5728,0.7930,0.6199614563
FEB2003,3.4129,0.5562,0.4977282891
MAR2003,3.1627,0.0262,0.2413344421
APR2003,2.6826,-0.0185,0.2233873634
MAY2003,2.7583,-0.6611,0.0542340133
JUN2003,2.5021,-0.4751,0.0867944317
JUL2003,2.4079,-1.1756,0.011270881
AUG2003,2.3640,-0.2300,0.1494680776
SEP2003,2.3890,-0.6287,0.0590767624
OCT2003,2.0739,-0.5537,0.0716008015
NOV2003,1.9817,-0.5727,0.0682594968
DEC2003,1.8980,-0.5194,0.0779527164
JAN2004,1.7788,-0.7389,0.0438771973
FEB2004,1.9010,-0.3448,0.1171218262
MAR2004,1.9217,-0.5386,0.0743471574
APR2004,1.7479,-0.7706,0.0401454475
MAY2004,1.8976,-0.3730,0.1099911097
JUN2004,1.8007,-0.3841,0.1072804664
JUL2004,1.7407,-0.3222,0.123055543
AUG2004,1.8626,-0.4500,0.0921422781
SEP2004,1.7488,-0.5918,0.0650135367
OCT2004,1.7451,-0.5595,0.0705725935
NOV2004,1.5351,-0.6874,0.0505341612
DEC2004,1.4655,-0.7487,0.0426933022
JAN2005,1.6890,-0.7489,0.0426700647
FEB2005,1.5355,-1.0010,0.0201016629
MAR2005,1.8311,-0.7113,0.047353544
APR2005,2.1009,-0.5053,0.0806993222
MAY2005,2.0797,-0.4042,0.1024887056
JUN2005,1.9180,-0.5728,0.0682417136
JUL2005,1.6667,-0.6687,0.0531406466
AUG2005,1.7756,-0.6800,0.0515613448
SEP2005,1.7954,-0.5597,0.0705363929
OCT2005,1.8556,-0.4606,0.0898635636
NOV2005,1.8588,-0.4328,0.0959343411
DEC2005,1.9252,-0.4240,0.0978976094
JAN2006,1.7820,-0.4661,0.088688567
FEB2006,1.7248,-0.4291,0.0967491326
MAR2006,1.7001,-0.5020,0.0813510918
APR2006,1.6127,-0.5258,0.0767478497
MAY2006,1.6313,-0.4204,0.0987363765
JUN2006,1.7224,-0.4711,0.0876267655
JUL2006,1.7704,-0.3765,0.1091309815
AUG2006,1.7812,-0.3986,0.1037964685
SEP2006,1.7863,-0.4821,0.0853624332
OCT2006,1.6893,-0.5000,0.081749517
NOV2006,1.6714,-0.4711,0.0876455948
DEC2006,1.5750,-0.5876,0.0657170142
JAN2007,1.4819,-0.6345,0.0581980471
FEB2007,1.4977,-0.6693,0.0530633719
MAR2007,1.5715,-0.4418,0.0939245973
APR2007,1.5370,-0.4398,0.0943758905
MAY2007,1.4561,-0.6744,0.052345677
JUN2007,1.6081,-0.4721,0.087427956
JUL2007,2.1071,-0.0859,0.197835822
AUG2007,2.2636,0.0349,0.244884412
SEP2007,2.2265,-0.0426,0.2140471196
OCT2007,2.1650,-0.1364,0.1799036638
NOV2007,2.7348,0.1896,0.3129775456
DEC2007,2.8137,0.3353,0.3836545418
JAN2008,3.2280,0.5661,0.5029001608
FEB2008,3.4828,0.7715,0.6091974412
MAR2008,3.7251,0.9878,0.7127190218
APR2008,3.2088,0.5010,0.4688480886
MAY2008,3.0564,0.5362,0.4872479122
JUN2008,3.3822,0.6181,0.5301313153
JUL2008,3.6106,0.8811,0.6631941294
AUG2008,3.7179,1.0270,0.7300047301
SEP2008,4.7216,1.5254,0.8975434536
OCT2008,7.0396,2.9562,0.9991768485
NOV2008,7.7361,2.3561,0.9908416413
DEC2008,7.4872,2.4772,0.9941039052
JAN2009,6.2434,2.2461,0.9866059562
FEB2009,6.0868,2.7638,0.9981030098
MAR2009,6.2077,2.2736,0.9877985114
APR2009,5.3010,1.9360,0.9646334988
MAY2009,4.7194,1.0873,0.7555692082
JUN2009,4.0887,0.6846,0.5647548346
JUL2009,3.4770,0.1119,0.2777970273
AUG2009,3.2686,-0.1459,0.1766661477
SEP2009,2.9228,-0.1133,0.1880009858
OCT2009,2.8114,-0.2970,0.1299240646
NOV2009,2.8068,-0.1362,0.1799878546
DEC2009,2.3870,-0.5809,0.0668401344
JAN2010,2.3791,-0.2620,0.1399151055
FEB2010,2.4052,-0.0422,0.2142087581
MAR2010,2.2063,-0.1632,0.1708100139
APR2010,2.0881,-0.2967,0.1300119382
MAY2010,2.5367,-0.2269,0.1504421422
JUN2010,2.6678,-0.0833,0.1987784397
JUL2010,2.5076,0.0988,0.2720388491
