Year,MRCSpPast
2000-04-01,-0.04081632653061224
2000-07-01,-0.0
2000-10-01,-0.125
2001-01-01,-0.02
2001-04-01,-0.1
2001-07-01,-0.02
2001-10-01,0.04
2002-01-01,-0.08
2002-04-01,-0.12
2002-07-01,-0.32
2002-10-01,-0.34
2003-01-01,-0.3
2003-04-01,-0.22
2003-07-01,-0.3
2003-10-01,-0.16
2004-01-01,-0.08
2004-04-01,-0.06
2004-07-01,0.08
2004-10-01,0.08
2005-01-01,0.2
2005-04-01,0.12
2005-07-01,0.16
2005-10-01,0.16
2006-01-01,0.16
2006-04-01,0.16326530612244897
2006-07-01,0.04081632653061224
2006-10-01,0.061224489795918366
2007-01-01,0.061224489795918366
2007-04-01,0.04081632653061224
2007-07-01,-0.02040816326530612
2007-10-01,0.02040816326530612
2008-01-01,-0.02040816326530612
2008-04-01,-0.02040816326530612
2008-07-01,-0.02040816326530612
2008-10-01,-0.02040816326530612
2009-01-01,-0.10204081632653061
2009-04-01,-0.10204081632653061
2009-07-01,-0.04081632653061224
2009-10-01,-0.061224489795918366
2010-01-01,-0.0
2010-04-01,-0.02040816326530612
2010-07-01,0.04081632653061224
2010-10-01,0.04081632653061224
2011-01-01,0.04081632653061224
2011-04-01,0.04081632653061224
2011-07-01,-0.0
2011-10-01,0.02040816326530612
2012-01-01,-0.0
2012-04-01,-0.0
2012-07-01,-0.0
2012-10-01,0.02
2013-01-01,-0.0
2013-04-01,-0.0
2013-07-01,0.04
2013-10-01,0.02
2014-01-01,0.04
2014-04-01,0.08
2014-07-01,0.04
2014-10-01,0.08
2015-01-01,0.08
2015-04-01,0.08
2015-07-01,0.06
2015-10-01,0.06
2016-01-01,0.06
2016-04-01,0.14
2016-07-01,0.2
2016-10-01,0.16
2017-01-01,0.16
